uniqueID,drugName,condition,review,rating,date,usefulCount
225852,Bupropion,Depression,"""I lost a family member, was on last semester of college, working part-time and the mild depression I had became a severe problem. I had dark thoughts and did not wanted to associate with anyone. Quit my job and had to apply for public assistance when my depression became a serious problem. I am now taking Wellbutrin XL 150 mg a day since May 11 and at first I had dry mouth but it only lasted a month. I have not lost weight and my appetite is good. I am feeling much better but I think that one pill is not enough. Psychotherapy is also another help that goes hand by hand. Also I stop smoking a month ago. I also had to improve my life style doing exercise a few times a week, meditation, aromatherapy and eating habits.""",9,7-Jul-10,43
225524,Bupropion,Depression,"""Really helped me recover from a horrid depression. This medication saved my life. It is a bit activating. At higher doses works as a great smoking cessation aid. LOVE IT.""",10,8-Jul-14,97
225715,Bupropion,Depression,"""I haven&#039;t been on this medication for long (3 1/2 weeks) but I can already tell a significant difference, I mean it&#039;s really noticeable. I have been depressed for about 5 years. During my college years it got really bad up to a point I started seeking help. First it was the college counselor, then a private counselor, then finally a psychiatrist. I was struggling in school, failing a bunch of classes because I had a terrible time focusing and remembering things. I was sleeping 10  hours a day, something I thought was impossible for a college student and still somehow managed to nap in the afternoons. Since I got on Wellbutrin I have a huge increase in energy, sleep 7-8 hours a day, don&#039;t feel the need to nap. I go out, even started jogging.""",9,18-May-12,93
64850,Sertraline,Depression,"""I began sertraline 50 mg approximately four weeks ago. I wasn%u2019t sure weather to take it at night or in the morning so I experimented with both. I found that during the day I would become very lethargic and yawn constantly with little energy but would then wake up in the middle of the night stimulated regardless of the time I took it. This frustrated me as I have always had a good sleep schedule and am an active person during the day, but I had read that others had experienced similar side effects and the effects eventually ceased. I felt better for several days%u2014not as downcast, brooding, heavy. 

After three weeks of taking it, the effect seemed to even out and I found myself struggling with feelings of hopelessness and doubt again. I felt better, certainly, just still struggling%u2014I don&#039;t expect a pill to %u201Ccure%u201D me of negative thoughts. I know I have control over my own thoughts, but it was that feeling of heaviness that tends to settle upon me%u2014like a dark cloud. When I went back to my doctor for the follow up, he increased it to 100 mg. I said let%u2019s try 75 mg first. He agreed. 

Within a couple weeks of taking 75 mg I still yawned a lot but I wasn%u2019t having trouble with lethargy and sleep issues as much. My attitude was much better. For example, I found that I really am a funny and silly person! I forgot that I was funny being under depression. I didn%u2019t realize how serious I had become, how reclusive. I also found my creativity really opened up. I had forgotten how creative I was. I also have been going to the gym and eating well. I try and smile and interact with people more%u2014even if I don%u2019t feel like it. I may just greet people or hold the door for them but it%u2019s better than me avoiding people like I used to. Some days are harder than others, but I can say that overall my experience with sertraline has been positive.""",8,13-May-15,24
224673,Bupropion,Depression,"""I switched to Wellbutrin after a year of Zoloft mostly due to weight gain (I&#039;d gained about 20 lbs. in a year). I started taking Wellbutrin 2x a day with a plan to eventually increase to extended release but the meds kept me up all night. I got maybe 4 hours of sleep a night even with Zzzquil. My sleep was extremely restless and I woke up about every hour. I called my doctor and asked if I could switch to the extended release version but she said it would probably be the same situation. I did like how the meds made me feel. Very little depression and I felt super energized and productive. Honestly I was almost too wired; I was very jittery and almost a bit manic.""",5,14-Jun-17,42
225936,Bupropion,Depression,"""Wellbutrin did not work for me; made me more depressed, joint pain, muscle pain and ringing in ears.""",1,29-Jul-09,30
225237,Bupropion,Depression,"""So, I wanted to share this experience, for anyone thinking of trying the Mylan generic Bupropion. The first three days were really beneficial, the only side effects being a slight headache, muscle pain, and a bit of dizziness. I was happy, energetic, and socially enjoyable. Then around days 4-5 where I am now, I feel totally overwhelmed, angry and out of control. I have not experienced this before. My working memory is garbage, and I&#039;m a high functioning college student with a near photographic memory. This is the most terrifying part. Insomnia and vivid nightmares set in yesterday. I constantly feel like puking, I have no energy, I can&#039;t talk strait.""",3,28-Oct-15,3
225369,Bupropion,Depression,"""I was put on this medicine in 2011 due to severe anxiety that led to depression. My psych doc had combined Wellbutrin XL 300mg and Cymbalta 60mg. Within 6 months I was symptom free and back to normal. I stopped all medicines 12 months later. Then I went 2.5 years without meds. An anxiety attack this November started my relapse. Now I&#039;m back on the same combination, hoping for the same results as last time. Only this time I&#039;m staying on the meds for 2 years minimum.""",10,12-Jan-15,42
224919,Bupropion,Depression,"""I started on Lexapro which worked at first for me, then a month later made me feel like a zombie because I was so drowsy so my doctor started me on 200mg of Wellbutrin a day. The first few days were fine and then after about a week the crazy suicidal thoughts started. Then came the mood swings and short fuze. After 2 weeks of this medication I couldnt stand anyone around me or even myself. I didnt want to be talked to or even looked at I felt depressed, life wasn&#039;t worth anything. So, my doctor changed me to Prozac 20mg and so far seems to be a good fit.""",1,11-Nov-16,20
225702,Bupropion,Depression,"""Have been taking 300mg for 3 weeks now.  I had HORRIBLE side effects in the beginning (for about a week) - almost unbearable nausea, diarrhea, sweating, vertigo, headaches, confusion and I felt like I had the flu.  Now I have migraine headaches that last almost all day and ringing in my ears.  I still feel a little foggy sometimes but that is a small price to pay for my depression being pretty much completely gone.  I finally have energy and I am shocked at how quickly it worked.  I was suicidal for months while on 225mg of Effexor and this has been a life saver.""",8,8-Nov-11,29
225975,Bupropion,Depression,"""Wellbutrin made me a bit dizzy when I first began to take it, but on the long term it helped me quite a lot with my motivational problems and depression. I am on a 300mg dose.""",9,1-Nov-09,34
63812,Sertraline,Depression,"""This med helps me depression so much! I have severe depression and anxiety and it helps with everything - the sadness, irritability, anxiety, social anxiety, you name it. Unfortunately it causes major weight gain. I mean, I gained 40 lbs in a few months so I weaned off of it, lost the weight with no lifestyle changes. Tried other meds but nothing worked as well so I have it another try. Again, weight gain. No lifestyle changes and gained 70lbs in 4 months. Repeat weaning. Repeat weight loss. Became suicidal. Had to go back on the med. remained on it for 9 years gained 150 lbs and remained stable there. Recently went off again and I&#039;m trying to find another med because I can&#039;t handle obesity but can&#039;t find another med that works as well!""",9,10-Oct-17,24
225732,Bupropion,Depression,"""My son suffered 3 concussions back to back which left him in a zombie like state for several (7) years. He was not sad, per se, just in a state of chronic malaise coupled with chronic fatigue, i.e. not being able to stay awake more then 2 or 3 hours at a time. Finally, we were able to find a Doctor who was familiar with head injuries and the low level of dopamine that the victim is often left with. Wellbutrin is a dopamine and noradrenaline re-uptake inhibitor so it is really working great for our son. It was literally like flicking his switch back &quot;on&quot;.  Anyone who has not felt like their old self after even a minor concussion should consider using this medicine.""",10,5-Apr-12,48
64309,Sertraline,Depression,"""i have severe depression, bipolar &amp; anxiety....i started on 50mgs for about 5 months and felt a little different as in a better mood....still had problems sleeping and felt anxious alot, went back to the doc and boosted up my dose to 100mg and also added Buspar 7,5mg twice a day and a low dose of clonopin.....Feeling great! I would say these are a miracle, back to my old self and loving it!""",10,25-Sep-16,22
225590,Bupropion,Depression,"""I have been on Wellbutrin XL for a little over a year, and it has dramatically improved my quality of life. I have struggled with depression for almost my entire life, and only recently sought out treatment, and WOW, what a difference! Wellbutrin didn&#039;t cause any weight gain - if anything I lost some weight - and it didn&#039;t decrease my sex drive. It took about a month for it to kick in, but it was well worth it.""",9,15-Oct-13,106
96259,Sertraline,Depression,"""Zoloft was great for controlling my depression, anxiety and obsessive thinking. The side effects were not terrible, all but one of them went away in about a month. The ones that only lasted through the first month were: feeling tired and drained as well as an occasional but mild headache, however, the only long lasting side effect was decreased sex drive, which unfortunately never subsided for me, (the drive is still there, it just isn&#039;t as intense) This is a great medicine for depression, anxiety and obsessive thoughts, if you haven&#039;t tried it, please do.""",8,27-Feb-12,47
95950,Sertraline,Depression,"""I&#039;ve been taking Zoloft for about 3 months. I&#039;ve felt very little side effects, all of which I did experience was tiredness but other than that I went from a emotionless zombie to feeling great all day long.""",10,21-Jul-13,113
65018,Sertraline,Depression,"""IT&#039;S MY SAVIOR, I was in severe anxiety and depression for the last 6 months, it felt like there was no hope anymore, started taking Zoloft, and today is my 4th week. It&#039;s not that I don&#039;t feel depressed anymore, I FEEL HAPPY, enjoying every moment of life, I go to work full of motivation now, I feel like nothing can stress me out, you sound very confident in front of your colleagues. I am so thankful for this medicine, it gave me my potential, my efficiency and my life back. No significant side effects, other than weight gain.""",10,25-Jan-15,237
226044,Bupropion,Depression,"""This medicine is great for depression. I feel better and I do not get mood swings like I did prior to taking it.""",8,2-Feb-09,76
64468,Sertraline,Depression,"""My husband has had depression and at times severe anxiety for years. He would have anxiety attacks so bad he was sure he was having a full blown heart attack every time, and his anxiety prevented him from sleeping because he was sure he would die in his sleep. His depression was bad as well, he was sure the world would be better off without him. He tried different medications but nothing really worked, some seemed to improve things a little bit but for the most part I had given up hope that any of them really do much. Then he tried Zoloft. For him, this was the one. It took the edge off after about a week, after two weeks I could definitely tell a difference. After about 6 weeks he was back to his normal self.""",10,14-Apr-16,123
224534,Bupropion,Depression,"""It seemed to work for me okay. Then suddenly my already thin hair started falling out by the handful.""",3,10-Nov-17,1
64815,Sertraline,Depression,"""I think zoloft for me is great. The only downfall i have with it was headaches. They started right when I began taking zoloft daily. They were intense and hurt like hell. Lasted about 2 weeks. Then bam they were gone. I took it at night before bed. I thought they made me tired. Since I&#039;ve been on it , I&#039;ve lost about 20lbs. I don&#039;t have the munchies at all &amp; honestly I have to tell myself to eat because it curbs my appetite. I don&#039;t feel bloated like I did on Lexapro that&#039;s why I switched. Zoloft really works for me and I&#039;m on a low dose. Headaches suck the first few weeks but what a difference from lexapro. Everyone&#039;s different.""",7,16-Jul-15,116
64084,Sertraline,Depression,"""I was prescribed Zoloft 10 years ago when I went through a very stressful experience and started having panic attacks &amp; depression  I found Zoloft to be fantastic; a true &#039;happy pill&#039;!  Within a month, life felt like living again, my panic attacks ceased, I was far better able to cope with my circumstances at the time, and I was able to stop taking it a few months later.  I took it again a year later on the advice of a doctor, who suggested it for my chronic irritable bowel syndrome; unfortunately it did not work for this condition.  However, I mistakenly stopped taking Zoloft suddenly instead of gradually reducing the dose, and began having severe hypnic jerks at night , which are a known side effect.""",8,27-Mar-17,31
225628,Bupropion,Depression,"""I have been on Wellbutrin SR 100 mg 2x/day for 5 months and it has helped me a lot. I have panic disorder, agoraphobia, and major depression. It has drastically improved my ability to go out and do things. My thoughts don&#039;t get stuck on anything that could potentially make me anxious (for the most part). I also take Zoloft 100 mg until a month ago 75 mg and a couple of days ago down to 50 mg. I can tell the Wellbutrin and Zoloft decrease is adjusting. I was reluctant to take it because of the panic but it has actually helped with that. I&#039;m not fully recovered however, as I still fear driving alone and being too far from a support person. I would generally recommend it, although it is a bit expensive without insurance.""",8,5-Mar-13,82
225843,Bupropion,Depression,"""Only antidepressant that doesn&#039;t cause weight gain. Been on it for 7 years. Still have some lows, but nothing compared to without it. Did not cause me to lose weight, and did not prevent migraines for me. Side effects are more energy. I have been off this medicine and had no withdrawal like other antidepressants. Best one out there for someone who has depression with too much sleeping. I love it. And there is no risk in trying it, because there are no withdrawals. You can stop this medicine whenever you like and feel fine.""",10,21-Aug-10,51
224974,Bupropion,Depression,"""Over the course of several months I&#039;ve developed an eating disorder. I&#039;m a normal weight but I was diagnosed with EDNOS- a combo of binge eating disorder and anorexia- I don&#039;t purge but have had significant weight loss in the past. Have tried Wellbutrin XL for past depression, which worked, but it does not curb my appetite as strongly as this one does. I&#039;m taking generic 100mg, I&#039;m not wholly in love with it because it has increased my anxiety, insomnia, and I feel weird- excited, nervous, tingly- and it&#039;s not good when I&#039;m trying to study and sit still. I can only get rid of it if I run it off. Don&#039;t feel like eating much anymore- 4 days and already &quot;lost&quot; 3 lbs.I eat when I&#039;m physically hungry.Just worried about the side effect of anxiety""",7,3-Dec-16,2
225813,Bupropion,Depression,"""I was finally prescribed Wellbutrin SR after 4 months of treatment with a hospital psychologist. Treatment through other means of talking through my emotions helped some, but there was those thoughts, if you know what I mean. So they started me on the medicine. It was only 100mg 1 time a day, I only took it for 10 days. I felt great for about 10 hours, but in the evening I would feel like I was in withdrawal or like I was in an emotional craving of some sort, kind of hard to describe. I felt edgy at night, was easy to bark at the kids for little or no reason, and I would have deep and serious thoughts about suicide, but those thoughts only lasted about 10 minutes, and then they would go away, as quickly as they had started.""",9,16-Oct-11,34
96185,Sertraline,Depression,"""Since puberty I had been diagnosed by everything under the sun except for what I really suffered, and have taken so many different medications the names have become a blur. Finally was diagnosed at 34 with bi-polar disorder type 1 compounded by bouts of clinical depression. I was given Triazadone, but couldn&#039;t take the vivid nightmares. Depakote, which gave me migraines. Finally found a good therapist who got me on Zoloft. It took a good 4 to 6 weeks for it to accumulate in my system and I did have the runs for the first couple of weeks, but it made a huge difference in my life. Just the thought of some Doctor taking me off Zoloft makes me panic. I never want to go back to my life before Zoloft.""",10,18-Sep-11,29
225896,Bupropion,Depression,"""Depression, and I would not be surprised to be told I have ADD. ADD was something never thought of in my day. Anyway Wellbutrin XL 300 in one month has moved me out of a 3 year funk of sleeping all day if I could. Getting nothing done and things piling up, getting up to go all day and living off of 6, 7, 8 hours of sleep in a day, reduced eating in a good way and I could go on about any number of positives.
Funny how I could be this lucky to find the drug that works for me. An inhibitor of dopamine re-uptake rather than ever being involved with taking various SSRIs as a first line of attack. So far I have nothing negative to say about this medicine except I wish I found this earlier for me.""",10,23-Apr-10,81
95682,Sertraline,Depression,"""I took Sertraline for Moderate Depression which it was exceptionally good at diminishing. I have been taking it for just under 6 weeks for moderate depression, social anxiety and generalised anxiety. It worked for depression the best, by far; however, not half as good for the anxiety, perhaps because it requires a higher dose and longer intake. Definitely consider Sertraline for depression, its side effects were minimal (if any because it was so unnoticeable).""",10,6-Dec-14,129
225834,Bupropion,Depression,"""I was OK with Prozac for years until I hit &quot;Prozac-poop-out&quot;.  I then took Wellbutrin for several years and it was great... Until my insurance switched to the generic in June 2009, and it suddenly quit working.  I had no idea of the switch until I started researching for something else that might actually work again and discovered the generic issue.  I asked to be put back on the real thing, but the most my insurance was willing to do was to switch to a different generic manufacturer = marginally better.  The insurance co. is throwing away money on generics that don&#039;t work!  I am going to try again to get back on real Wellbutrin XL even though it will cost me quite a bit more -- it will be worth every penny!""",10,22-Sep-10,49
64643,Sertraline,Depression,"""I been on sertraline hcl 25 mg for a long time and it helped me through the car accident that mom and I was in. I was still taking sertraline when my grandma died  and it helped me get through the toughest time of my life. Sertraline makes me a brand new person out of me. sertraline is the best.""",10,28-Nov-15,40
96616,Sertraline,Depression,"""I remember reading people&#039;s opinions, online, of the drug before I took it and it scared me away from it. Then I finally decided to give it a try and it has been the best choice I have made. I have been on it for over 4 months and I feel great. I&#039;m on 100mg and I don&#039;t have any side effects. When I first started I did notice that my hands would tremble but then it subsided. So honestly, don&#039;t listen to all the negativity because what doesn&#039;t work for some works amazing for others. So go based on youself and not everyone else. It may be a blessing in diguise. The pill is not meant to make you be all happy go lucky and see &quot;butterflies and roses&quot;, its meant to help put the chemicals in your mind in balance so you can just be who you are and not overly depressed. I still get sad some times, but that is normal, that is life, and it&#039;s up to people to take control to make a change. I did so by getting on this pill.""",10,31-Jul-08,1291
96033,Sertraline,Depression,"""I have suffered from depression for a long time, but never believed it. I always said &quot;It&#039;s a rough patch, I&#039;ll come out of it soon&quot; ..8 years on, I was down and out and suicidal. My Dr. recommended Zoloft. I was skeptical and afraid of playing with my emotions. I thought depressed was just &quot;Me&quot;. But I gave it a go, after 3.5 weeks, the most wonderful thing has happened. I feel NORMAL. I can cope with my day, I am hopeful about the future. There were side effects for the first week, I took my pill at night which helped and kept up the exercise, they passed. If I can give any advice it&#039;s don&#039;t be afraid to take control of your body and don&#039;t feel guilty if you decide to try medicines, listen to your Dr. You deserve to be happy.""",10,20-Aug-12,172
225917,Bupropion,Depression,"""I have suffered from severe depression for over 3 years, mood swings, irritable, loss of interest, huge lack of energy, absolutely no motivation, anxiety, paranoia, and panic attacks. I was prescribed 100mg extended release 2 times daily and its amazing how quickly it works. I don&#039;t have nearly as many mood swings as before, I have tons of energy (once you are on Wellbutrin you realize just how much depression really affects you without even noticing it), tons of motivation. (I used to debate whether I should do this or that now I just do it there&#039;s no question whatsoever). However it did not help my anxiety or panic attacks, the side effects for me were a very annoying twitching and dry mouth. I have only been on it for a week so time will tell.""",7,20-Jan-10,55
225310,Bupropion,Depression,"""I&#039;ve been on the generic version of Wellbutrin SR 100mg once a day a little over a week. Added to supplement my 20mg Prozac twice a day, and .5 Klonopin twice a day. I&#039;ve been on the Prozac and Klonopin over a year and it began to be not as effective. I began to feel very depressed along with my anxiety also I&#039;ve gained about 20lbs so my psychatrist prescribed 100mg Wellbutrin SR once a day in morn to help. So far I&#039;ve noticed I&#039;m extremely tired about 1 hour after taking, so tired even my strongest cup of coffee can&#039;t keep me awake. I know Prozac and Klonopin can have this as a side effect but my body is well adjusted to that now, those side effects are long gone.I&#039;ve noticed better focus and reduced appetite, so now I will just wait.""",7,1-May-15,33
64689,Sertraline,Depression,"""I have my life back.

I became incapable of normal day to day life through a combination of major depression and anxiety. I almost lost my relationship, my future - my life. 

I was first put on fluoxotine with  another medication  and CBT by a useless dr. I opened my mind to try again which was brave after my first fail, and look at me now giving myself a pat on the back! 

I am so excited to start the rest of my life with this new and hopeful outlook!! I am on 50mg and the side effect for the first 2 weeks were well worth pushing through. 

Goodluck and stay openminded everyone! It does get better and there is a way out of the dark! %u263A""",10,21-Dec-15,36
225661,Bupropion,Depression,"""I started taking it 24th Jan 2013, I weighed 414lbs. It&#039;s now 30th Jan and I weighed in at 405 lbs. Total pounds lost in 7 days 9lbs. It curbs the hunger and I don&#039;t crave for food. I am drinking lots of water and I have 2 cups of Green Vegs a day. Side Effects so far has been Insomnia however my doctor prescribe sleeping pills which I take 1 at night and I sleep right through. Will keep you all posted on Weightloss.""",9,30-Jan-13,120
225976,Bupropion,Depression,"""I switched from Wellbutrin to Aplenzin 3 months ago. I had a good sex life before on Wellbutrin. I switched my medication instead of increasing the dose of Wellbutrin. Now that I am on Aplenzin I feel numb. I had this same feeling when on Zoloft. """,5,28-Oct-09,18
225678,Bupropion,Depression,"""Nausea and a lot of sweating but works well. It keeps me wide awake.""",8,9-Dec-12,43
96324,Sertraline,Depression,"""On my first week of using sertraline and so far side effects include dizziness, nausea, and insomnia. On the upscale I don&#039;t have any angry or violent outbursts. About an hour after taking it I saw it&#039;s effects almost immediately. All those little things don&#039;t bother me so much anymore. Have never felt this way so it&#039;s a strange experience.""",5,9-May-10,6
224661,Bupropion,Depression,"""Was taking Wellbutrin XL (bupropion) 150mg in AM &amp; Zoloft (sertraline) 150mg at night.  There was a miscommunication at my pharmacy so was out of Zoloft over a holiday weekend (3 days).  It was the best miscommunication ever!  With solely the Wellbutrin XL I have my old self back minus the anxiety &amp; depression.  I wake-up refreshed. I  have more energy. I&#039;m not napping every day or extremely lethargic.  I&#039;m excited to exercise, my libido is back &amp; I&#039;m calm and happy.  It also has seemed to help with my food cravings, extra bonus.""",9,6-Jul-17,63
225588,Bupropion,Depression,"""I cried all the time! I was taking it for depression, but I became so sad while taking this because when I talked to my children I cried, when I was alone or with family, it didn&#039;t matter what was going on I CRIED! Needless to say I was switched to another med! Lol!""",2,22-Oct-13,55
64342,Sertraline,Depression,"""I started 50mg of Sertraline bc of depression, racing thoughts and lots of suicidal urges/thoughts. I&#039;ve been on the meds for 3 weeks now. I haven&#039;t had those major depressed moments like I did. Its like all that crazy head stuff fell away. I&#039;m not super anxious anymore either. I feel calmer and less stressed/angry. I had a lot going on. I decided to get help instead of trying to do this alone. I have had some insomnia but if that&#039;s my only side effect, I will take it!! In the past I always stopped treatment when I started feeling better...this time I&#039;m going to continue for my own safety. Depression is not a good place to be. Wish all readers the best!""",9,8-Oct-16,68
96321,Sertraline,Depression,"""I have been taking Zoloft for about 2 weeks and notice a little difference. I&#039;m much happier, not so tired as usual. One day I had this urge just to go out and I get my hair cut, nails done and my tongue pierced. I have no idea where that came from. I felt very social and wanting to talk to people. Before I liked to stay in my room with the dark curtains and hope it will rain soon because I couldn&#039;t stand the sun. I also didn&#039;t want any company..just wanted to be left alone. It still comes and goes. I&#039;m pregnant so I&#039;m only on 25 mg but I know if I was taking a higher mg I would feel better.""",7,29-May-10,36
225923,Bupropion,Depression,"""Wasn&#039;t on this drug for very long, only about 2 months. I felt mildly stimulated, but got no great effects from it. No side effects either however.

The reason for the high rating is that it destroys all pleasure of smoking for me, to the point that I don&#039;t want to smoke due to the fact I won&#039;t feel it.

Also the only popular antidepressant I know that doesn&#039;t affect sex drive in a negative way like SSRIs.""",8,10-Jan-10,8
64068,Sertraline,Depression,"""I&#039;ve been all over the place in my head. It calms me down some but not a lot. Plus I&#039;ve been gaining weight, I&#039;ve been sick, headaches, itchy, and so much other stuff.""",4,25-Jan-17,16
96408,Sertraline,Depression,"""I started taking this because I was getting upset really easy. At first I felt a little happier but it definitely made me shaky and sick. I get upset a lot less but I&#039;m really just numb to everything. It make me impulsive and irritated.""",4,12-Oct-09,34
96303,Sertraline,Depression,"""I&#039;ve been on Zoloft for a few days and feels as I have a flat bearer over my head., as if my volume controls have been set on medium permanently. I definitely notice sexual dysfunction. It took me forever to climax. """,8,5-Aug-10,16
64209,Sertraline,Depression,"""Reading the comments on this forum I have come to a conclusion that a lot of people do not give this drug time to work! It&#039;s an older drug than many on the market and has come very much the choice of doctors in the U.K. Again as it&#039;s range of doses is long example 25mg to 200 mg so it&#039;s not a massive heavy drug, and to many people read all the negative comments on forums regarding not just sertilne but other ADs, as my doctor has said many times there is no true happy pill in the world.""",10,30-Nov-16,60
64502,Sertraline,Depression,"""I am now 60. Ive been trying to find the right medication for decades. I&#039;ve been on many different ones.  In 2009, I agreed to another- Zoloft. Took 50 mg/day for a month to six weeks- went back to the psych doc despondent. He raised the dose to 200mg, the limit for safety. Within one week, I started to feel &quot;normal&quot;, a condition I don&#039;t remember having for many decades. I&#039;ve been on this medication since 2010 at the same dose, 200mg/ day. It has made all the difference in my happiness, productivity, confidence, being able to work, cope effectively with life&#039;s inevitable disappointments and have only one sad regret. How I wish this medication was available in 1970&#039;s to 1980&#039;s when I so desperately needed it.""",10,4-Jun-16,54
225652,Bupropion,Depression,"""This is just awesome! Tried different antidepressants, but Wellbutrin really worked after 1.5 weeks. I&#039;m so happy now after 5 years of depression!""",10,25-Jun-13,110
64464,Sertraline,Depression,"""Sertraline changed my life. My anxiety attacks began in the fall, and as a university student, there were little options or ways to cope without it affecting my studies and social life. I eventually stopped going to class, believing that there was going to be no solution. I began taking sertraline and even with a small dose (which eventually increased) I felt better. I almost feel better than I did before I was aware of my anxiety. I wasn&#039;t educated and was a non-believer thinking that medication could truly solve problems in your head but after finally listening and taking advice it did for me. May not work for everyone, but thought I would share my experience.""",9,15-Apr-16,44
64237,Sertraline,Depression,"""Although this has kept me sane for the last 5 yrs I cant understand why I have to pay twice because they don&#039;t make a 150 mg tablet &pound;8.40 for the 100 mg and a further &pound;8.40 for the 50 mg one illness twice the price.

As if we don&#039;t have enough to worry about""",10,17-Nov-16,11
225286,Bupropion,Depression,"""I spent a lot of time reading reviews and it took me awhile to even start the medication but I finally said screw it I&#039;ll try it. After reading the reviews most people said they felt better almost right away so after 2 months when I still wasn&#039;t feeling great I started to get nervous. Then 3 months approached and I started crying less and less and I actually got excited to do things again and by 4 months I feel great!! I&#039;m so glad I stuck with it. If your depression is bad this really can take up to 3 months but don&#039;t give up! I did have to take buspar with it because I&#039;m just naturally an anxious person and that helped with my anxiety and to balance it out. I now take 100mg of bupropion in am and 100mg in afternoon and it&#039;s just enough!""",8,9-Jun-15,93
95860,Sertraline,Depression,"""I have been using sertraline for about 3 months now. I was worried about the side effects of the medication, but I am really pleased with the results. I started on 25 mg and then increased the dose to 50mg after 1 month. This drug has been phenomenal for me. I am a 25 year old female who suffers from Post Traumatic Stress Disorder, depression and anxiety. I was worried about weight gain, but I have actually lost weight while on this medicine. My mood is much more stable and predictable, I don&#039;t cry or feel down like I used too. Consulting with a doctor and trying an anti-depressant is truly one of the best decisions I&#039;ve made.""",10,8-Aug-14,59
